
aba,negative
abacavir,positive
abactinal,negative
abalone,neutral
abamp,neutral
abampere,neutral
abandon,negative
abandon,neutral
abandoned,negative
abandonment,negative
abandonware,positive
abashed,positive
abashment,neutral
abasic,neutral
abate,positive
abatement,neutral
abatement,neutral
abatic,neutral
abatis,neutral
abattis,neutral
abattoir,negative
abaxial,positive
abazagorath,negative
abb,neutral
abb,negative
abba,negative
abbas,negative
abbe,positive
abbess,neutral
abbey,negative
abbildung,negative
abbildung,negative
abbot,neutral
abbot,positive
abbotsford,positive
abbreviate,negative
abbreviated,negative
abbreviation,neutral
abbreviator,neutral
abby,positive
abc,positive
abc,neutral
abcaz,positive
abd,negative
abdeckung,negative
abdel,negative
abdias,neutral
abdomen,positive
abdomen,negative
abdominal,negative
abdominal,positive
abdominocentesis,neutral
abdominous,neutral
abdominousness,neutral
abduce,positive
abducens,neutral
abducent,positive
abducent,neutral
abduct,negative
abducted,negative
abducting,positive
abduction,negative
abductor,negative
abdul,neutral
abdullah,negative
abdus,positive
abe,negative
abenaki,neutral
abend,negative
abenteuer,negative
aber,negative
aberdeen,positive
aberrance,negative
aberrancy,negative
aberrant,positive
aberration,negative
abet,negative
abeta,negative
abetalipoproteinaemia,negative
abetment,positive
abettal,positive
abetter,neutral
abettor,neutral
abeyance,negative
abeyant,negative
abgesichert,negative
abgesppritztn,negative
abheben,negative
abhorred,negative
abhorrence,negative
abhorrent,negative
abia,positive
abidance,positive
abide,positive
abides,positive
abiding,positive
abience,positive
abient,positive
abigail,neutral
abila,neutral
abilitiy,positive
ability,positive
ability,neutral
abimelech,negative
abimelech,negative
abiogenesis,neutral
abit,positive
abit,negative
abject,negative
abject,negative
abjection,negative
abjuration,negative
abjure,negative
abkhas,neutral
abkhasian,neutral
abkhaz,neutral
abkhaz,neutral
abkhazia,neutral
abkhazian,neutral
abkhazian,neutral
abkommens,negative
ablactate,positive
ablactation,neutral
ablation,negative
ablaze,negative
able-bodied,positive
able-bodiedism,neutral
able-bodism,neutral
able,positive
able,neutral
ableism,neutral
ablenkung,negative
ablism,neutral
abloom,neutral
ablutionary,negative
abm,positive
abn,negative
abnaki,neutral
abnegate,negative
abnegation,negative
abnormal,negative
abnormal,negative
abnormalcy,negative
abnormality,negative
abo,negative
aboard,positive
abode,positive
aboho,positive
abolish,negative
abolishment,negative
abolition,neutral
abolitionist,neutral
abominable,negative
abomination,negative
abominator,neutral
abonnement,negative
abonnieren,negative
abor,neutral
aboricultural,positive
aboriginal,neutral
aboriginal,positive
aboriginal,positive
aborigine,negative
aborigine,negative
abort,negative
abort,negative
abort,negative
aborted,negative
aborticide,negative
abortifacient,negative
abortion,neutral
abortion,neutral
abortionist,negative
abortive,negative
aboud,negative
aboulia,neutral
aboulic,neutral
abound,positive
abounding,neutral
about-face,negative
about,neutral
about,negative
above-mentioned,neutral
above-named,neutral
above,positive
above,positive
aboveboard,positive
aboveground,positive
aboveground,negative
abr,negative
abr,positive
abradant,negative
abrade,negative
abrader,negative
abraham,neutral
abraham,neutral
abramoff,neutral
abrams,neutral
abramson,positive
abranchial,negative
abranchiate,negative
abranchious,negative
abrase,negative
abrasion,negative
abrasive,negative
abrasive,negative
abrasive,negative
abrasiveness,negative
abraxane,positive
abreaction,positive
abreu,positive
abreviated,negative
abridge,negative
abridged,positive
abridgement,negative
abridger,neutral
abridgment,negative
abril,positive
abroach,neutral
abroad,neutral
abrogate,negative
abrogation,negative
abrogator,negative
abrunden,negative
abrupt,negative
abruption,negative
abruptly-pinnate,neutral
abruptness,negative
absalom,positive
absatz,negative
abscess,negative
abscond,negative
absconding,negative
abscondment,neutral
abseil,neutral
abseil,neutral
abseiler,neutral
abseiling,positive
absence,negative
absendung,negative
absent,negative
absent,negative
absentee,negative
absentee,positive
absenteeism,negative
absentminded,negative
absessed,negative
absinth,neutral
absinthe,neutral
absolut,negative
absolute,positive
absoluteness,negative
absolution,positive
absolutism,negative
absolutist,neutral
absolutistic,neutral
absolve,neutral
absolved,positive
absolvitory,positive
absorb,neutral
absorbable,positive
absorbance,positive
absorbed,negative
absorbefacient,neutral
absorbency,positive
absorbent,positive
absorber,negative
absorbing,positive
absorbtion,positive
absorption,positive
absorption,negative
absorptive,positive
abspielen,negative
abspritzenn,negative
absquatulate,negative
abstain,neutral
abstainer,negative
abstemious,positive
abstention,negative
abstentious,neutral
abstinence,positive
abstinent,neutral
abstinent,negative
abstract,neutral
abstract,negative
abstract,positive
abstract,negative
abstracted,negative
abstractedness,positive
abstracter,neutral
abstraction,negative
abstractionism,neutral
abstractionist,negative
abstractness,positive
abstractor,neutral
abstruse,negative
abstruseness,negative
abstrusity,negative
absurd,negative
absurdity,negative
absurdness,negative
abta,positive
abteilung,negative
abu,negative
abulia,neutral
abulic,neutral
abundance,positive
abundance,positive
abundant,positive
abusae,negative
abuse,negative
abuse,negative
abuseand,negative
abused,positive
abuser,negative
abuser,negative
abusing,negative
abusive,negative
abut,positive
abuzz,neutral
abv,positive
aby,positive
abydos,positive
abye,positive
abyla,neutral
abysm,negative
abysmal,negative
abyss,negative
abyssal,negative
abyssinia,neutral
ac,neutral
acabq,positive
acadamy,positive
acade,positive
academe,neutral
academia,neutral
academia,neutral
academic,neutral
academic,positive
academic,neutral
academical,positive
academician,positive
academicism,neutral
academism,neutral
academy,neutral
academy,neutral
acadian,positive
acadian,positive
acadiana,positive
acai,positive
acai,positive
acantha,positive
acanthisittidae,neutral
acanthoid,negative
acanthous,negative
acanthus,positive
acapnia,negative
acapnial,neutral
acapnic,neutral
acapnotic,neutral
acappellas,positive
acaracide,neutral
acariasis,neutral
acaricide,neutral
acaridiasis,neutral
acariosis,neutral
acarologists,positive
acarpellous,positive
acarpelous,positive
acaryote,neutral
